"","x"
"1",116152.823788274
"2",157723.163666908
"3",182391.135341442
"4",196137.262142258
"5",207477.51608357
"6",166413.097362977
"7",175652.25224627
"8",159052.01137181
"9",196436.477759142
"10",120185.574559939
"11",164231.782935897
"12",96143.0089461324
"13",96070.5749513789
"14",147896.042311878
"15",110304.112394127
"16",364235.605638318
"17",250070.832820839
"18",318994.963476926
"19",301786.883038481
"20",498302.326862333
"21",340536.119502951
"22",211900.510725207
"23",179597.547243792
"24",159931.08063843
"25",201015.029146914
"26",188795.933325958
"27",345431.325208604
"28",241102.065770072
"29",194448.863547377
"30",254022.623487407
"31",190159.854314259
"32",86498.3424989214
"33",194609.955550052
"34",306009.342840516
"35",302463.740666693
"36",232874.254171114
"37",178986.958754718
"38",171618.349281494
"39",170726.783470305
"40",163069.559128372
"41",184153.116488425
"42",147089.493070328
"43",243043.630504412
"44",253473.534443955
"45",232199.457855728
"46",194925.288300906
"47",231049.628906317
"48",207270.605531737
"49",161431.556933542
"50",145228.009455645
"51",152614.653438742
"52",175552.254678767
"53",156072.82721924
"54",158409.868793091
"55",199682.830991128
"56",149291.742051916
"57",162742.03464779
"58",128453.299126015
"59",200993.103445685
"60",129408.014352099
"61",130483.803017239
"62",182285.239529668
"63",113797.109390821
"64",137893.483074535
"65",123309.109328192
"66",110472.719392114
"67",110958.627276477
"68",135292.148089135
"69",163105.213875451
"70",189385.557290062
"71",109046.060381854
"72",99335.1219296234
"73",150042.368080925
"74",118360.61779902
"75",139047.317527139
"76",111354.738284967
"77",54564.7929831751
"78",143179.710748604
"79",212369.15717202
"80",90710.6912640192
"81",140906.282027836
"82",141223.979987719
"83",184518.911635871
"84",89243.9753434911
"85",121122.310142709
"86",143207.131555672
"87",135869.206928586
"88",141907.597675318
"89",132559.069668457
"90",142768.754170923
"91",105199.244100938
"92",138162.939123275
"93",142734.307959495
"94",114527.311476014
"95",172368.331636066
"96",82679.7928467527
"97",117472.149113024
"98",102605.283150792
"99",111263.222295977
"100",128147.329859851
"101",133092.745111365
"102",126754.304366911
"103",122512.474537156
"104",161678.034395169
"105",152392.468380558
"106",247484.492548173
"107",79552.9862470344
"108",249382.504679262
"109",125093.452933695
"110",140717.532622558
"111",124441.294746086
"112",145537.084206075
"113",232090.462835401
"114",119213.190749978
"115",242849.87495576
"116",242623.131686008
"117",150330.056666287
"118",146779.138287604
"119",156494.613147041
"120",198317.220806002
"121",157406.58207015
"122",129657.984309971
"123",291650.336078059
"124",212168.350881806
"125",137153.420728608
"126",64255.9426429774
"127",118616.773850016
"128",162559.849387618
"129",102180.909889596
"130",133255.088040201
"131",96972.235971344
"132",120993.104286782
"133",126926.178112872
"134",129078.192092365
"135",119440.235450655
"136",212634.681433569
"137",215369.949508483
"138",239774.132124549
"139",164539.159131434
"140",155814.202573322
"141",55616.8342809066
"142",105181.638721174
"143",86849.3282354223
"144",281385.954012403
"145",239949.369606004
"146",167508.678825259
"147",168417.024505857
"148",220716.105567586
"149",179036.295306184
"150",156434.611996461
"151",146652.516342431
"152",168940.744127545
"153",166447.927454253
"154",129076.284307234
"155",92719.9574700329
"156",77863.1409217056
"157",91085.6466864863
"158",132202.998260771
"159",142561.947643418
"160",159953.321018497
"161",136464.071110743
"162",140023.786177012
"163",267026.736017449
"164",201696.999095216
"165",112859.927518141
"166",166897.083300446
"167",192039.578354585
"168",277877.896780239
"169",185218.608131707
"170",344692.284391944
"171",235597.624122355
"172",255720.70480641
"173",175900.692290886
"174",181536.949799386
"175",171132.922265645
"176",147629.964656603
"177",206265.434307787
"178",176354.395697188
"179",181106.827082919
"180",256185.299771571
"181",181883.327316499
"182",252818.395734204
"183",219934.19208254
"184",262673.451348047
"185",221446.699583595
"186",158321.877528332
"187",156896.610076915
"188",127460.578178766
"189",148783.532124255
"190",114869.542284897
"191",122071.560680187
"192",98168.7008915152
"193",101497.471972579
"194",143124.960321958
"195",133997.460472226
"196",144242.314391059
"197",151809.768882292
"198",146292.440912563
"199",117469.568552912
"200",154547.957762138
"201",448066.815631424
"202",416117.888772927
"203",379455.380778694
"204",529551.383266052
"205",314834.737841508
"206",316530.803943938
"207",392069.892539761
"208",362922.038908672
"209",317072.685584513
"210",354318.443623017
"211",259945.385700398
"212",457346.953537375
"213",299208.308401114
"214",233631.14422797
"215",191045.490851636
"216",187374.24585636
"217",216832.929732434
"218",442783.747436343
"219",400133.923342663
"220",339247.050707701
"221",252830.179931319
"222",320257.56923246
"223",179839.215148367
"224",173007.378527875
"225",169395.855140118
"226",165935.830040831
"227",170655.520496961
"228",181383.689955771
"229",187654.451149945
"230",196153.809853989
"231",189748.196550685
"232",270552.599191024
"233",172676.137711108
"234",183400.353924001
"235",163606.812802588
"236",268040.724187665
"237",173324.093315028
"238",341940.431687068
"239",321913.582696414
"240",253210.452958598
"241",277548.781509748
"242",225698.655671334
"243",235194.006141879
"244",262251.557019114
"245",235170.627225808
"246",412876.834923416
"247",213174.232322688
"248",203917.583779587
"249",269002.174752128
"250",227249.317762438
"251",284682.736691705
"252",255816.767598312
"253",277709.651714867
"254",238629.529195872
"255",212939.60632335
"256",178342.576984942
"257",180521.960426177
"258",134473.200321433
"259",204098.100952787
"260",230779.544237185
"261",164947.267972588
"262",128780.553561927
"263",161591.006005658
