"","x"
"1",116438.68821367
"2",162795.031400556
"3",183778.422091019
"4",199978.650646933
"5",204423.155479379
"6",167235.608703743
"7",180366.942849207
"8",160283.38418093
"9",195462.324732067
"10",124213.318565352
"11",172286.972275006
"12",95857.5726685472
"13",95302.6487534793
"14",148891.501647572
"15",113190.139210279
"16",360429.324634606
"17",248344.971969174
"18",305644.212562479
"19",293382.41774159
"20",505409.588999986
"21",337531.315258398
"22",209295.256111114
"23",179605.392300599
"24",160117.191325264
"25",194481.917375754
"26",190094.711620469
"27",334686.104424043
"28",239919.939140993
"29",195770.189811343
"30",259880.921464347
"31",189206.365845778
"32",86507.8707205484
"33",188351.756231669
"34",288399.227059732
"35",297382.096517972
"36",238559.30094168
"37",182374.932012483
"38",169632.005626597
"39",175726.227946512
"40",161050.959480166
"41",183128.665429919
"42",145352.27467483
"43",242528.97115492
"44",253578.871420307
"45",234065.231073019
"46",193770.761409283
"47",242327.830581168
"48",206372.78758118
"49",157469.937266542
"50",145148.409694762
"51",153296.002071981
"52",178605.178280741
"53",155336.575812929
"54",158871.103067005
"55",197709.008030135
"56",147677.904507667
"57",164822.55293383
"58",127939.401292062
"59",204163.817835432
"60",133469.760479532
"61",133002.87492496
"62",178961.395597879
"63",115264.205076635
"64",135956.480755671
"65",124600.317145536
"66",111240.347564216
"67",109744.929060475
"68",139367.902037182
"69",163467.271201102
"70",198673.762390538
"71",107366.430375001
"72",99226.58769089
"73",144304.318761203
"74",118952.471187578
"75",141332.191278852
"76",109225.540255841
"77",54177.7381436243
"78",142820.328465091
"79",207224.806436947
"80",92168.6463322129
"81",141280.468124806
"82",143574.010401981
"83",187049.72961834
"84",87511.1960159764
"85",122051.180376181
"86",137096.027455943
"87",135839.585599582
"88",141396.515807593
"89",130684.445090147
"90",140944.354292918
"91",108143.574655308
"92",141328.559768005
"93",145253.973834759
"94",114723.568139932
"95",169897.670830323
"96",81832.6422127155
"97",118683.81411629
"98",102129.387329282
"99",109240.477932075
"100",127269.687601362
"101",129123.190147068
"102",127085.03729754
"103",124017.794429484
"104",163999.226198722
"105",150444.389614052
"106",250057.451825422
"107",79713.3468708683
"108",250709.659475901
"109",121717.764597244
"110",140318.712512518
"111",116701.405967538
"112",148263.10338646
"113",236224.962078911
"114",120987.048915784
"115",241607.930053496
"116",249601.517196499
"117",149256.678901038
"118",148756.624022454
"119",153154.16248252
"120",195078.223514253
"121",154915.360896786
"122",129340.276483014
"123",299783.281803222
"124",215749.944435422
"125",136997.572337319
"126",67413.5161380454
"127",114925.590296654
"128",164775.101260324
"129",101014.901424332
"130",133547.177934447
"131",98460.0906370442
"132",120667.080844552
"133",127660.867387417
"134",134687.183216068
"135",121726.774999757
"136",219754.207107937
"137",218299.642598758
"138",232487.763864927
"139",165341.897315982
"140",155502.838193842
"141",55578.2589113846
"142",104676.502381218
"143",86510.2601500557
"144",280804.322452308
"145",239029.131195578
"146",170568.745886219
"147",165950.330581203
"148",214994.983007648
"149",180280.494627416
"150",151135.242986627
"151",143137.141996455
"152",168264.037332497
"153",166571.721444828
"154",129385.152033874
"155",90710.4755278072
"156",77370.0815211435
"157",89806.3616261713
"158",132797.669076101
"159",144121.206812118
"160",162431.071834239
"161",131400.730723339
"162",140157.826157922
"163",265384.734306862
"164",202094.028735389
"165",115039.125465156
"166",163770.527924175
"167",194321.894353473
"168",282797.587890863
"169",179049.500364229
"170",356279.31439079
"171",228688.407849497
"172",249085.512024954
"173",172369.342004035
"174",181300.286664372
"175",169941.853211684
"176",149933.254694549
"177",208155.391760778
"178",173752.717907984
"179",177915.305979164
"180",255612.5996907
"181",179895.539061415
"182",251757.491957283
"183",221201.084014223
"184",267183.878490648
"185",225950.733774837
"186",160420.772360212
"187",156578.12413933
"188",128307.57005515
"189",146760.90093969
"190",114690.287384856
"191",121809.089240608
"192",97016.7935923054
"193",100392.60344969
"194",141795.422249868
"195",132666.200464013
"196",144114.309329259
"197",148830.74985645
"198",144237.267870234
"199",118339.840781294
"200",151394.818864568
"201",441873.646993498
"202",429180.597281575
"203",377434.24297675
"204",534570.48086508
"205",310272.514171436
"206",317004.117508407
"207",399958.02112589
"208",356258.426096388
"209",310664.190073499
"210",349732.336433866
"211",262392.231363961
"212",461746.060216691
"213",293496.771933155
"214",232636.047368755
"215",193058.387532593
"216",189009.761527764
"217",217949.844600898
"218",451224.706168336
"219",405902.842828073
"220",337566.642889395
"221",249663.95672668
"222",318446.122822891
"223",180613.739494796
"224",171986.605155977
"225",169029.965888089
"226",166376.692954825
"227",168962.245087614
"228",181906.275965671
"229",190461.481965386
"230",195011.109337217
"231",185203.590518665
"232",268274.707800122
"233",174225.092489332
"234",184388.032006177
"235",162355.019430273
"236",273491.501576285
"237",173352.306361696
"238",345763.706802645
"239",291441.08548381
"240",250868.096191403
"241",270272.070742518
"242",224216.463843098
"243",233591.656916304
"244",267568.324387692
"245",233272.549941605
"246",426487.475480326
"247",213697.259109341
"248",204828.375705693
"249",266859.62500327
"250",225332.732492572
"251",280389.79600845
"252",258118.353183948
"253",282677.959625795
"254",245133.316529446
"255",211286.39301057
"256",178785.991755665
"257",177040.873583374
"258",135747.319241039
"259",203754.98582741
"260",226091.894014444
"261",165577.951928149
"262",129339.447193457
"263",162199.870127013
"264",195983.770920616
"265",234933.319191964
"266",186762.709979914
"267",152130.003452157
"268",177996.198664528
"269",168212.765015489
"270",160823.234195721
"271",110583.612094782
"272",127293.692525082
"273",110853.834715464
"274",129292.935227552
"275",128080.956133415
"276",104712.74422486
"277",293515.636490546
"278",271526.76192795
"279",235266.319375516
"280",210170.650428144
"281",184216.278518145
"282",174046.867924903
"283",172660.422751231
"284",375214.211795472
"285",211663.293697406
"286",188677.476452816
"287",218006.102892003
"288",221169.847459803
"289",149041.98747123
"290",120300.633774514
"291",232457.062163263
"292",115592.847756461
"293",150153.021821396
"294",195381.22340703
"295",170727.199054021
"296",130940.09485233
"297",121166.249449688
"298",147179.539010422
"299",165647.439022229
"300",161128.698077536
"301",143316.726464966
"302",186351.103060123
"303",185201.053184598
"304",120564.073615555
"305",157865.32093036
"306",195761.444533034
"307",225236.773420953
"308",147913.028307394
"309",171938.435135005
"310",151431.857559056
"311",123478.748154638
"312",136507.675824637
"313",123677.612855234
"314",136589.993790067
"315",143538.211305321
"316",128303.573366333
"317",103112.884694352
"318",135237.543976366
"319",123270.29253532
"320",167459.316198101
"321",130723.175156282
"322",80063.1202003939
"323",131516.492756701
"324",107184.646718447
"325",126039.430399519
"326",132685.30602385
"327",158137.539637131
"328",55677.3939288311
"329",99995.8555060213
"330",81196.695450425
"331",175108.790601218
"332",165736.016227717
"333",134801.335242841
"334",141347.162061385
"335",130462.681850408
"336",122345.714320477
"337",110785.778107689
"338",123826.318061583
"339",113370.662936947
"340",137703.041987055
"341",124556.993375282
"342",124608.331576214
"343",145731.469806666
"344",135745.480957028
"345",133747.431240562
"346",116800.033232781
"347",129364.970941194
"348",123966.581341417
"349",127172.783409182
"350",140543.213048622
"351",99177.6040249119
"352",103369.624288794
"353",138218.083488758
"354",101045.83108728
"355",49447.296476331
"356",102718.021621704
"357",113232.379870867
"358",155727.59677597
"359",128135.551147721
"360",65969.1946430397
"361",119225.828336009
"362",145380.960708348
"363",52437.8736838064
"364",123835.380527994
"365",151591.799057994
"366",111671.043254876
"367",101383.742705892
"368",134729.379474278
"369",118461.310760154
"370",138023.069200769
"371",143178.151051163
"372",88950.4563274152
"373",137071.617289828
"374",112704.20583237
"375",119660.638424268
"376",112406.890846184
"377",85602.115295869
"378",138191.907225437
"379",89603.4002756784
"380",156263.050486367
"381",143654.162304211
"382",94315.9451730655
"383",124288.354544296
"384",139420.883082873
"385",147850.858174117
"386",147998.525190183
"387",174417.477917803
"388",49038.053148239
"389",107737.386708322
"390",117058.020292616
"391",149107.430487356
"392",127250.238172108
"393",130182.549238352
"394",171314.424034622
"395",150318.380661243
"396",222974.611315218
"397",140201.930333509
"398",137672.709377227
"399",119350.257340267
"400",144544.838154592
"401",118658.726265031
"402",336526.299422728
"403",311529.651733383
"404",311643.47193874
"405",346246.866337875
"406",329626.79412002
"407",215926.522009388
"408",273835.950157226
"409",199574.782236364
"410",215749.65491329
"411",249039.28126396
"412",168872.896840249
"413",244316.874225875
"414",157086.253542589
"415",193990.634592622
"416",197442.371440231
"417",209187.585517482
"418",211171.291950843
"419",129110.76745707
"420",132643.578833178
"421",237587.787781236
"422",241335.058804638
"423",185310.252590626
